	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60
CAND1	46260.0	0.0	0.0	39496.0	0.0	7156.8	0.0	57210.0	126200.0	246000.0	173300.0	81671.0	56589.0	55161.0	41755.0	0.0	7023.1	0.0	51542.0	418210.0	1607500.0	3524300.0	2026500.0	1108700.0	866510.0	3076500.0	3412400.0	2498300.0	1733000.0	963440.0	979840.0	797660.0	267670.0	240190.0	170480.0	165500.0	141480.0	61056.0	35798.0	129700.0	6352.4	6946.9	6609.3	0.0	25946.0	0.0	0.0	0.0	15382.0	0.0	12045.0	0.0	0.0	0.0	4525.3	0.0	0.0	3229.7	0.0	7242.6
DDX1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27057.0	0.0	0.0	0.0	3410.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	183230.0	62641.0	165290.0	86947.0	233960.0	28946.0	79181.0	8177.9	7985.9	14005.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RTCB	0.0	0.0	0.0	0.0	0.0	0.0	68016.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80995.0	0.0	303800.0	282180.0	258360.0	135820.0	47643.0	53326.0	52440.0	102980.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62225.0	0.0	0.0	0.0	0.0	0.0
PLGRKT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	288410.0	1027500.0	0.0	4085800.0	6383500.0	0.0	0.0	0.0	0.0	537170.0	2848100.0	3239900.0	5674200.0	4562900.0	2713300.0	4450700.0	3603800.0	1960400.0	2212600.0	1435000.0	1236800.0	2207600.0	721890.0	1628900.0	2581700.0	2366900.0	623200.0	630300.0	330400.0	582700.0	618980.0	533290.0	172050.0	57782.0	147550.0	138570.0	522670.0	784720.0	436030.0	420530.0	462060.0	349150.0	175030.0	268330.0	0.0	0.0
TAGLN2	1322600.0	1349000.0	1678800.0	1823100.0	2213900.0	1974900.0	4528400.0	7913600.0	45723000.0	33215000.0	15339000.0	13318000.0	6799000.0	5804400.0	7983500.0	5991900.0	4125700.0	4092900.0	3851900.0	3989000.0	3272300.0	3950800.0	4198700.0	5893800.0	8444100.0	9449500.0	8025200.0	11372000.0	4147600.0	3983000.0	2754800.0	5174000.0	2615200.0	1972300.0	1157900.0	1174000.0	1000500.0	647920.0	439050.0	48660.0	0.0	49033.0	73602.0	0.0	27630.0	34126.0	0.0	0.0	38818.0	0.0	16026.0	0.0	0.0	0.0	75876.0	0.0	0.0	0.0	0.0	0.0
PEX14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94210.0	0.0	116250.0	101240.0	222790.0	267720.0	416300.0	840320.0	974580.0	1548800.0	4017700.0	2311000.0	952960.0	540100.0	453500.0	364990.0	337680.0	212470.0	132510.0	287680.0	225220.0	0.0	91724.0	97421.0	36146.0	55712.0	40379.0	42407.0	0.0	0.0	0.0
PIGG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD44	0.0	0.0	15700000.0	178700.0	362230.0	542300.0	556620.0	961790.0	3709600.0	4139700.0	2762000.0	1584800.0	763660.0	2665400.0	1221300.0	1764600.0	1749100.0	2965600.0	7279700.0	26234000.0	35515000.0	37572000.0	39581000.0	89512000.0	225180000.0	292160000.0	122070000.0	80944000.0	78937000.0	51850000.0	42314000.0	25383000.0	21643000.0	21797000.0	21487000.0	20257000.0	11762000.0	7969100.0	15536000.0	28928000.0	3005600.0	1643200.0	1304300.0	1000100.0	1031300.0	384730.0	725090.0	276530.0	606670.0	433980.0	313620.0	0.0	221450.0	211310.0	110220.0	0.0	105560.0	32463.0	0.0	0.0
ABCB7	29465.0	33959.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159880.0	34484.0	0.0	9718.7	0.0	8665.8	87614.0	0.0	0.0	549360.0	5570600.0	5046200.0	2597000.0	1961400.0	1531600.0	1532100.0	1149600.0	726190.0	454450.0	232890.0	236860.0	492980.0	285100.0	198450.0	118070.0	0.0	0.0	66786.0	47093.0	37242.0	6991.8	0.0	23703.0	20618.0	0.0	0.0	4710.0	0.0	6314.3	3222.8	26019.0	0.0	0.0	0.0	0.0	0.0
IPO9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10142.0	16126.0	20863.0	0.0	60411.0	24737.0	126550.0	84118.0	78197.0	24751.0	21531.0	10846.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
